acc,epoch,loss,lr-SGD,step,test_acc,test_loss,val_acc,val_loss
,,,0.01,0,,,,
,0,,,99,,,0.17000000178813934,2.568077802658081
0.16374999284744263,0,2.646791934967041,,99,,,,
,,,0.01,100,,,,
,1,,,199,,,0.3543750047683716,1.6190600395202637
0.28421875834465027,1,2.0488617420196533,,199,,,,
,,,0.01,200,,,,
,2,,,299,,,0.40812501311302185,1.498294472694397
0.36265623569488525,2,1.7061567306518555,,299,,,,
,,,0.01,300,,,,
,3,,,399,,,0.4581249952316284,1.4374229907989502
0.4323437511920929,3,1.515575885772705,,399,,,,
,,,0.01,400,,,,
,4,,,499,,,0.5612499713897705,1.1969480514526367
0.5081250071525574,4,1.3140459060668945,,499,,,,
,,,0.01,500,,,,
,5,,,599,,,0.6156250238418579,1.0970520973205566
0.5651562213897705,5,1.20774507522583,,599,,,,
,,,0.01,600,,,,
,6,,,699,,,0.6168749928474426,1.246748685836792
0.6053125262260437,6,1.085221767425537,,699,,,,
,,,0.01,700,,,,
,7,,,799,,,0.6506249904632568,1.0220351219177246
0.6576562523841858,7,0.9407221078872681,,799,,,,
,,,0.01,800,,,,
,8,,,899,,,0.7037500143051147,0.8749383687973022
0.6706249713897705,8,0.9067604541778564,,899,,,,
,,,0.01,900,,,,
,9,,,999,,,0.6974999904632568,0.8991580009460449
0.7079687714576721,9,0.823508620262146,,999,,,,
,10,,,1000,0.7012500166893005,0.9352748990058899,,
